,num_acc_min,num_acc_fr_min,prom_sobrepaso_acc,prom_sobrepaso_fren,prom_abs_acc,std_acc,num_jerk_acc_min,num_jerk_freno_min,prom_sobrepaso_jerk_acc,prom_sobrepaso_jerk_freno,prom_abs_jerk,std_jerk,std_pot,prom_abs_pot,consumption,kms,consumption_per_km,num_current_min,num_current_fr_min,prom_sobrepaso_current,prom_sobrepaso_current_fr,prom_abs_current,std_current,std_current_std_jerk,highway,slope,max_current,max_jerk,max_acc,max_pot,max_speed,mean_speed,std_speed,iqr_pot,mean_soc
203,0.0,0.0,1.0,1.0,0.212,0.29467420804829336,0.0,0.0,1.0,1.0,0.3771428571428572,0.4629078455474564,9.773480305852614,12.463466666666665,-0.29999999999999716,1.4276061,-0.21014199925315336,0.0,0.0,1.0,1.0,26.27333333333333,20.783779786704393,9.620974723396104,primary,-4.481002666666667,23.0,0.74,0.69,4.526,62.82,51.84133333333333,7.188059410942434,7.2785,74.2
204,0.0,0.0,1.0,1.0,0.2223076923076923,0.27680766825920955,0.0,0.0,1.0,1.0,0.22666666666666666,0.32876874682501206,7.206887022578682,11.075307692307693,-0.3000000000000007,1.3418054,-0.22357936553243915,0.0,0.0,1.0,1.0,29.406923076923075,24.39561819225429,8.02051682108891,primary,-3.2773084615384622,44.0,0.52,0.63,2.891,66.65,57.196923076923085,4.982247459088093,9.254999999999999,75.0
205,0.0,0.0,1.0,1.0,0.15272727272727274,0.28269657828120387,0.0,0.0,1.0,1.0,0.186,0.34836762191684806,2.4873354059088224,11.578818181818184,-0.1999999999999993,1.3689361000000002,-0.14609885735353115,0.0,0.0,1.0,1.0,28.12090909090909,18.160973369261026,6.3266951043446715,primary,-4.262991818181818,30.7,1.1,0.93,-7.05,62.37,55.385454545454536,7.066189020449941,3.2230000000000008,75.9090909090909
206,0.0,0.0,1.0,1.0,0.25066666666666665,0.32925100185454603,0.0,0.0,1.0,1.0,0.3092857142857143,0.4786956128855981,7.986129432125844,6.182399999999999,0.0,1.3134398,0.0,0.0,0.0,1.0,1.0,11.431333333333333,14.105713483864928,6.752343161347367,primary,-1.1132878,26.13,1.35,0.78,19.38,53.77,42.016,11.680862737217414,8.8525,80.0
207,0.0,0.0,1.0,1.0,0.09636363636363635,0.11162955264979516,0.0,0.0,1.0,1.0,0.11800000000000002,0.1555506348428061,5.306041262965972,4.042363636363636,-0.09999999999999787,1.3124961000000004,-0.07619070258570508,0.0,0.0,1.0,1.0,9.211818181818181,11.262234853007529,1.7518477811340982,primary,-1.1887516363636363,10.58,0.35,0.19,4.606,62.46,57.23727272727273,2.7708449646600264,5.2375,80.0
208,0.0,0.0,1.0,1.0,0.12545454545454546,0.14554542615410546,0.0,0.0,1.0,1.0,0.148,0.1543502510525979,8.88812750315817,4.791181818181818,0.0,1.3002127000000003,0.0,0.0,0.0,1.0,1.0,15.52727272727273,19.151108247499362,2.9559783659370047,primary,-0.7843786363636365,31.88,0.25,0.17,27.807,64.5,58.629090909090905,4.649177248816085,4.0095,80.0
209,1.8461538461538463,0.9230769230769231,1.435,1.07,0.4178571428571428,0.6603527968643206,0.9230769230769231,0.9230769230769231,1.9000000000000001,1.3666666666666665,0.826153846153846,1.1588598763516458,26.597742284499507,17.403714285714283,0.20000000000000284,1.4303697,0.13982399095842343,0.0,0.0,1.0,1.0,25.537857142857142,32.06108873251633,37.15430932426302,trunk,0.32889953571428565,86.25,2.85,1.78,69.07600000000001,67.29,54.00000000000001,9.886571312021795,14.57025,79.0
210,0.8823529411764706,0.0,1.3,1.0,0.315,0.4873489509581405,0.8823529411764706,0.8823529411764706,1.1133333333333333,1.06,0.54,0.8067906240847814,21.60908478603386,11.887699999999999,0.09999999999999787,1.4319510999999998,0.06983478695606148,0.0,0.0,1.0,1.0,26.825,37.89117270552602,30.57024287439557,trunk,0.9237999,91.97,1.67,1.3,72.138,69.24,60.025,6.025437282425601,6.258750000000001,78.9
211,0.0,0.0,1.0,1.0,0.35625000000000007,0.4878252120380823,0.0,0.7317073170731707,1.0,1.2133333333333332,0.6685714285714285,0.8550760796799406,31.281360272532908,21.288500000000003,0.1999999999999993,1.3737984,0.14558176803816286,0.0,0.0,1.0,1.0,27.57,33.89241397422143,28.980592471966894,trunk,0.404778625,64.19,0.8999999999999999,0.96,71.973,71.56,59.3975,7.7109861329701,18.06525,78.0
212,0.0,0.0,1.0,1.0,0.2741666666666666,0.3517683502281327,0.0,0.0,1.0,1.0,0.3527272727272727,0.46359892897001903,21.953369187135415,13.983333333333334,0.20000000000000284,1.3172941999999999,0.15182637257493645,0.0,0.0,1.0,1.0,22.207499999999996,28.10605998070325,13.029939304621141,trunk,0.5147141666666666,70.8,1.23,0.76,71.28,75.42,58.38666666666666,7.453875542699958,10.506,77.91666666666667
213,0.0,0.5,1.0,1.2,0.3244444444444444,0.44360337083625045,0.0,0.0,1.0,1.0,0.44470588235294123,0.5796652177816799,10.518255290149856,8.402055555555556,0.09999999999999787,1.36281622723,0.07337746498899081,0.0,0.0,1.0,1.0,24.865555555555556,39.386628018487016,22.831058308022293,trunk,0.3589156111111111,148.25,1.2,0.76,15.981,84.41,38.09888888888888,26.093590578551,14.431999999999999,77.33333333333333
214,0.0,0.0,1.0,1.0,0.4370000000000001,0.43309236890067687,0.0,0.0,1.0,1.0,0.5877777777777777,0.7579862860741896,26.576303502180284,19.661,0.1999999999999993,1.3429099999999998,0.14893030806234173,1.5,0.0,1.1534782608695653,1.0,40.912,56.193397797250164,42.5938248982272,trunk,0.33353829999999995,132.65,1.2,0.75,59.867,92.51,80.045,7.900651520251002,20.837,76.6
215,0.0,0.0,1.0,1.0,0.4433333333333333,0.5153375976058538,0.0,0.0,1.0,1.0,0.5687500000000001,0.7004897840083038,24.313933865172867,20.011777777777777,0.0,1.4035467,0.0,1.5,0.0,1.0016521739130435,1.0,44.385555555555555,59.11430396556601,41.40896601664055,unclassified,-0.32125088888888886,115.19,1.19,0.58,31.75,108.82,81.87777777777777,11.513471216120896,20.615,74.0
